playlist_position,video_id,published_at,privacy_status,title_family,is_target_default,normalized_timestamp,old_title,old_description,previous_formatted_title,next_formatted_title,suggested_title,suggested_description,confidence,suggestion_basis,apply,review_notes
10,IXuGi20KpEE,2026-04-03T21:06:38Z,public,formatted,FALSE,,Kel'Thuzad vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs Wee Whelp boss fight
[2026 03 21T00 36 01]",King Rastakhan vs King Togwaggle – Book of Heroes | Hearthstone | Adventure Mode,Kel'Thuzad vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
11,l9Hwj7yjiB0,2026-04-03T21:05:43Z,public,formatted,FALSE,,Kel'Thuzad vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs Overseer Mogark boss fight
[2026 03 21T01 00 35]",Kel'Thuzad vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,Kel'Thuzad vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
12,2kqySc-UjzE,2026-04-03T21:04:36Z,public,formatted,FALSE,,Kel'Thuzad vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs Frostfur boss fight
[2026 03 21T01 04 59]",Kel'Thuzad vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,Medivh vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
13,CwgkAkywKAc,2026-04-03T21:03:21Z,public,formatted,FALSE,,Medivh vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,"Medivh vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Medivh vs Graves the Cleric boss fight
[2026 03 20T21 59 31]",Kel'Thuzad vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,Kel'Thuzad vs A.F.Kay – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
14,EuBxw_lUu7o,2026-04-03T21:02:45Z,public,formatted,FALSE,,Kel'Thuzad vs A.F.Kay – Book of Heroes | Hearthstone | Adventure Mode,"Kel'Thuzad vs A.F.Kay – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Kel'Thuzad vs A.F.Kay boss fight
[2026 03 20T22 03 47]",Medivh vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
15,0RLkRyvAnN0,2026-04-03T21:01:45Z,public,formatted,FALSE,,Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,"Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Opera Diva Tamsim vs Overseer Mogark boss fight
[2026 03 20T11 25 02]",Kel'Thuzad vs A.F.Kay – Book of Heroes | Hearthstone | Adventure Mode,Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
16,7qVVfpFCHKw,2026-04-03T20:59:09Z,public,other,FALSE,,Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi,"Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone [Heroes of Warcraft] Book of Heroes -N'Zoth vs Waxmancer Sturmi boss fight
[2026 03 20T11 32 07]",Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
17,vOP5ZpdYSl8,2026-04-03T20:56:39Z,public,formatted,FALSE,,Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode,"Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Nemesis Gul'dan vs Spiritseeker Azun boss fight
[2026 03 20T11 38 39]",Opera Diva Tamsim vs Overseer Mogark – Book of Heroes | Hearthstone | Adventure Mode,Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
18,y9iPmdU3lew,2026-04-03T20:55:44Z,public,formatted,FALSE,,Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,"Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Opera Diva Tamsim vs George and Karl boss fight
[2026 03 20T11 45 05]",Nemesis Gul'dan vs Spiritseeker Azun – Book of Heroes | Hearthstone | Adventure Mode,Nemesis Gul'dan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
19,tZQvPGDoeWY,2026-04-03T20:44:34Z,public,formatted,FALSE,,Nemesis Gul'dan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,"Nemesis Gul'dan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Nemesis Gul'dan vs Blackseed boss fight
[2026 03 20T17 30 21]",Opera Diva Tamsim vs George and Karl – Book of Heroes | Hearthstone | Adventure Mode,Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
20,geG7UIecHdw,2026-04-03T20:43:41Z,public,formatted,FALSE,,Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode,"Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Mecha Jaraxxus vs Xol the Unscathed boss fight
[2026 03 20T20 04 14]",Nemesis Gul'dan vs Blackseed – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
21,B1f-lB3W_SI,2026-04-03T20:42:50Z,public,formatted,FALSE,,King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Wee Whelp boss fight
[2026 03 20T20 12 40]",Mecha Jaraxxus vs Xol the Unscathed – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
22,MJOAVcYW1rw,2026-04-03T20:42:01Z,public,formatted,FALSE,,King Rastakhan vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Frostfur boss fight
[2026 03 20T20 15 06]",King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
23,x1MzjBAyWoc,2026-04-03T20:39:04Z,public,formatted,FALSE,,King Rastakhan vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Graves the Cleric boss fight
[2026 03 20T20 17 31]",King Rastakhan vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
24,eQm75ixBqKo,2026-04-03T20:38:14Z,public,formatted,FALSE,,N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the N'Zoth vs Frostfur boss fight
[2026 03 20T11 20 19]",King Rastakhan vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
25,VeIKj4JN1Zk,2026-04-03T20:37:25Z,public,formatted,FALSE,,King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the King Rastakhan vs Wee Whelp boss fight
[2026 03 20T20 35 09]",N'Zoth vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
26,CoeCbvtqDMg,2026-03-31T03:09:42Z,public,formatted,FALSE,,Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Elder Brandlemar boss fight
[2026 03 15T23 23 35]",King Rastakhan vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
27,hpW4xpmC_P0,2026-03-31T03:48:44Z,public,formatted,FALSE,,Garrosh of Wrath vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Seriona – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Seriona boss fight
[2026 03 15T23 40 09]",Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Kraxx – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
28,m0baO1ZepIY,2026-03-31T03:47:52Z,public,formatted,FALSE,,Garrosh of Wrath vs Kraxx – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Kraxx – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Kraxx boss fight
[2026 03 15T23 45 44]",Garrosh of Wrath vs Seriona – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
29,m4TqBIqNZuo,2026-03-31T03:47:06Z,public,formatted,FALSE,,Garrosh of Wrath vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Giant Rat boss fight
[2026 03 15T23 54 35]",Garrosh of Wrath vs Kraxx – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
30,MS0YJ8CGAK0,2026-03-31T03:11:13Z,public,formatted,FALSE,,Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Frostfur boss fight
[2026 03 16T00 05 50]",Garrosh of Wrath vs Giant Rat – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
31,ViJw_5uIAD8,2026-03-31T03:11:55Z,public,formatted,FALSE,,Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Elder Brandlemar boss fight
[2026 03 16T00 09 48]",Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Russell the Bard – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
32,nrSLPUvfsyc,2026-03-31T03:12:36Z,public,formatted,FALSE,,Garrosh of Wrath vs Russell the Bard – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Russell the Bard – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Russell the Bard boss fight
[2026 03 16T00 14 36]",Garrosh of Wrath vs Elder Brandlemar – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
33,nvPC-T20iUA,2026-03-31T03:13:03Z,public,formatted,FALSE,,Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Wee Whelp boss fight
[2026 03 16T00 22 32]",Garrosh of Wrath vs Russell the Bard – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
34,50V88esRb_g,2026-03-31T03:14:31Z,public,formatted,FALSE,,Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Frostfur boss fight
[2026 03 16T00 28 03]",Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Bristlesnarl – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
35,7PisVQJUi1I,2026-03-31T03:14:07Z,public,formatted,FALSE,,Garrosh of Wrath vs Bristlesnarl – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Bristlesnarl – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Bristlesnarl boss fight
[2026 03 16T01 24 26]",Garrosh of Wrath vs Frostfur – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
36,xSkb89hW4i4,2026-03-31T03:15:34Z,public,formatted,FALSE,,Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Wee Whelp boss fight
[2026 03 16T18 43 22]",Garrosh of Wrath vs Bristlesnarl – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
37,YOeacM70l90,2026-03-31T03:16:14Z,public,formatted,FALSE,,Garrosh of Wrath vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Graves the Cleric boss fight
[2026 03 16T18 45 33]",Garrosh of Wrath vs Wee Whelp – Book of Heroes | Hearthstone | Adventure Mode,Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,,,manual,neighbor titles disagree,FALSE,
38,tgEg_ZlV8JY,2026-03-31T03:17:34Z,public,formatted,FALSE,,Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,"Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Garrosh of Wrath vs Pathmaker Hamm boss fight
[2026 03 16T18 49 01]",Garrosh of Wrath vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,,Garrosh of Wrath vs Graves the Cleric – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Part of the Hearthstone - Adventure mode playlist.",low,previous formatted neighbor only,FALSE,
39,H6Q5cVHSMlc,2026-03-31T03:18:33Z,public,default_timestamp,TRUE,2026-03-16 18:53:10,Hearthstone  Heroes of Warcraft   2026 03 16T18 53 10,"Hearthstone  Heroes of Warcraft   2026 03 16T18 53 10 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 16T18 53 10 boss fight",Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,,Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Part of the Hearthstone - Adventure mode playlist.",low,previous formatted neighbor only,FALSE,
40,XI8dDb-3HWk,2026-03-31T03:20:15Z,public,default_timestamp,TRUE,2026-03-16 19:01:35,Hearthstone  Heroes of Warcraft   2026 03 16T19 01 35,"Hearthstone  Heroes of Warcraft   2026 03 16T19 01 35 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 16T19 01 35 boss fight",Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,,Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Part of the Hearthstone - Adventure mode playlist.",low,previous formatted neighbor only,FALSE,
41,pZ1kev3VSQg,2026-03-31T03:21:14Z,public,default_timestamp,TRUE,2026-03-16 19:15:52,Hearthstone  Heroes of Warcraft   2026 03 16T19 15 52,"Hearthstone  Heroes of Warcraft   2026 03 16T19 15 52 – Book of Heroes | Hearthstone | Adventure Mode [Heroes of Warcraft]
Solo PvE gameplay from Hearthstone's Book of Heroes adventure, featuring the Hearthstone  Heroes of Warcraft   2026 03 16T19 15 52 boss fight",Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,,Garrosh of Wrath vs Pathmaker Hamm – Book of Heroes | Hearthstone | Adventure Mode,"Hearthstone Book of Heroes gameplay from Adventure Mode.

Part of the Hearthstone - Adventure mode playlist.",low,previous formatted neighbor only,FALSE,
